wave,spec,std
845,0.133010716,0.037735429
846,0.133019472,0.03772517
847,0.133041213,0.037705454
848,0.133078978,0.037699933
849,0.133105913,0.037693909
850,0.133127683,0.037686739
851,0.133155974,0.037676359
852,0.133157275,0.037674205
853,0.133160737,0.03766682
854,0.133185517,0.037643513
855,0.133212179,0.037626599
856,0.133244563,0.03761774
857,0.133280291,0.037615333
858,0.133290586,0.037599014
859,0.13330426,0.037592869
860,0.133323177,0.037588134
861,0.133354269,0.037567024
862,0.133376147,0.037562569
863,0.13339605,0.037558095
864,0.133417383,0.037544788
865,0.133432471,0.037537415
866,0.133448323,0.037529081
867,0.133467174,0.037518511
868,0.133508346,0.037498569
869,0.133535909,0.037496638
870,0.133558417,0.037499049
871,0.133588153,0.037484431
872,0.133618644,0.037477053
873,0.133645209,0.037470112
874,0.133664455,0.037460793
875,0.133689143,0.037450436
876,0.133711338,0.037440371
877,0.133730909,0.037430972
878,0.13375129,0.037424153
879,0.133784433,0.037411532
880,0.133821981,0.037400385
881,0.133852472,0.037403588
882,0.133874433,0.037400178
883,0.133897307,0.037392345
884,0.133924645,0.037379816
885,0.133961021,0.037367551
886,0.133987584,0.037359675
887,0.134007462,0.037357377
888,0.134045344,0.037369281
889,0.134079862,0.037365719
890,0.134106033,0.037355633
891,0.134112475,0.037346878
892,0.134142422,0.037351019
893,0.134173135,0.037344061
894,0.134197476,0.037315337
895,0.134210514,0.037333664
896,0.134243075,0.037338748
897,0.134288537,0.037331548
898,0.134289275,0.03733286
899,0.134322713,0.037331595
900,0.134376846,0.037324744
901,0.134442743,0.037306781
902,0.134471099,0.03731556
903,0.134503209,0.037319041
904,0.134548888,0.037309629
905,0.134574881,0.037302908
906,0.134612409,0.037299781
907,0.134655825,0.037300552
908,0.134671374,0.03730821
909,0.134710094,0.037310087
910,0.134752934,0.037311248
911,0.134779611,0.037316797
912,0.134825905,0.037296719
913,0.134876717,0.037285197
914,0.134929757,0.037289727
915,0.134954238,0.037289312
916,0.134991436,0.037305567
917,0.135042496,0.037325837
918,0.135120186,0.037305681
919,0.135159784,0.037305269
920,0.135200307,0.037315287
921,0.135271866,0.037333349
922,0.135313036,0.037326593
923,0.135340811,0.037318589
924,0.135358669,0.037313532
925,0.135404489,0.037329802
926,0.135448422,0.03732295
927,0.135480976,0.037311244
928,0.135459975,0.037358265
929,0.135457682,0.037370128
930,0.135464409,0.037366144
931,0.135476154,0.037354391
932,0.135473941,0.037339265
933,0.135501724,0.03732883
934,0.135578683,0.037329374
935,0.135581541,0.037344473
936,0.135682462,0.037331332
937,0.13582573,0.037317627
938,0.135873122,0.037379559
939,0.135901211,0.037374047
940,0.135948714,0.037373837
941,0.136040483,0.037412303
942,0.13609006,0.037401323
943,0.136112712,0.037392308
944,0.136115999,0.037390306
945,0.136188329,0.037398403
946,0.136248059,0.037416363
947,0.136310382,0.037437121
948,0.136411843,0.037445066
949,0.136427233,0.037472691
950,0.136434367,0.037473551
951,0.136467228,0.03741816
952,0.136598744,0.037411475
953,0.136667713,0.037445539
954,0.13667177,0.037503452
955,0.13669059,0.037426689
956,0.136811248,0.037465405
957,0.13693812,0.037540596
958,0.136905968,0.037531373
959,0.136982663,0.037515321
960,0.137068357,0.037524465
961,0.137127,0.03757467
962,0.137153484,0.037560255
963,0.137187784,0.037551591
964,0.137238786,0.037552513
965,0.137363134,0.037567195
966,0.137458185,0.037577086
967,0.137513092,0.037582166
968,0.137492255,0.037579537
969,0.137574485,0.037575283
970,0.137671385,0.03758295
971,0.137759863,0.037608728
972,0.137800288,0.037625715
973,0.137835689,0.037622393
974,0.137872687,0.037609443
975,0.137943311,0.037658389
976,0.138003526,0.037664405
977,0.138057585,0.037660324
978,0.138106076,0.037685299
979,0.13819115,0.037658457
980,0.13823889,0.037642819
981,0.138221751,0.037658017
982,0.138344424,0.037687222
983,0.138424944,0.037693826
984,0.138471959,0.037687567
985,0.138529317,0.0377114
986,0.138563201,0.037712544
987,0.138594499,0.037709369
988,0.138645106,0.03771906
989,0.138756363,0.037742673
990,0.138813973,0.037777317
991,0.1387844,0.037823626
992,0.13885416,0.037759619
993,0.138887178,0.037733532
994,0.138904866,0.037737672
995,0.138997116,0.037749404
996,0.139046136,0.037792241
997,0.139077918,0.037826662
998,0.139109172,0.037806305
999,0.139192559,0.037814279
1000,0.139271042,0.037811412
1001,0.139331931,0.037788676
1002,0.139391632,0.037779704
1003,0.139485973,0.03780378
1004,0.139582425,0.037837488
1005,0.139584649,0.037857468
1006,0.139627882,0.037878993
1007,0.139713854,0.037901522
1008,0.139845191,0.037913157
1009,0.139983157,0.0379215
1010,0.140086308,0.037945006
1011,0.140089482,0.037956288
1012,0.140049328,0.037946076
1013,0.140017227,0.037930263
1014,0.140028092,0.037925961
1015,0.14010136,0.037931526
1016,0.140188091,0.037937752
1017,0.140313337,0.037960699
1018,0.140455927,0.037990272
1019,0.140531186,0.037997367
